Y-value,Brightness
0,0.0586519
1,0.0632893
2,0.0886477
3,0.0847851
4,0.0773123
5,0.075258
6,0.0725641
7,0.0725641
8,0.075258
9,0.0789791
10,0.0842563
11,0.0820605
12,0.0895334
13,0.0852834
14,0.0895334
15,0.0905605
16,0.0900316
17,0.0910587
18,0.0868088
19,0.0910587
20,0.0926148
21,0.0968647
22,0.0931436
23,0.102671
24,0.101115
25,0.106392
26,0.106392
27,0.106921
28,0.101004
29,0.10681
30,0.110531
31,0.107308
32,0.108335
33,0.111447
34,0.120445
35,0.124167
36,0.127389
37,0.126221
38,0.134192
39,0.134721
40,0.131498
41,0.13461
42,0.143639
43,0.140416
44,0.150441
45,0.151468
46,0.15094
47,0.159938
48,0.164188
49,0.157244
50,0.169465
51,0.179521
52,0.181575
53,0.183629
54,0.192129
55,0.197406
56,0.197406
57,0.215433
58,0.238209
59,0.224321
60,0.221098
61,0.230625
62,0.218902
63,0.229456
64,0.277233
65,0.261261
66,0.263315
67,0.255953
68,0.277701
69,0.330755
70,0.299867
71,0.30245
72,0.31942
73,0.324199
74,0.33156
75,0.345338
76,0.34428
77,0.356501
78,0.346334
79,0.370167
80,0.396165
81,0.383304
82,0.378526
83,0.408275
84,0.417803
85,0.419328
86,0.438382
87,0.447909
88,0.457436
89,0.477548
90,0.483852
91,0.486436
92,0.493908
93,0.481158
94,0.517323
95,0.518209
96,0.518129
97,0.522908
98,0.548377
99,0.587236
100,0.577069
101,0.563292
102,0.590877
103,0.592433
104,0.605183
105,0.62321
106,0.61832
107,0.635818
108,0.640068
109,0.635289
110,0.658206
111,0.689014
112,0.682599
113,0.691099
114,0.718154
115,0.712847
116,0.726624
117,0.729847
118,0.755845
119,0.752093
120,0.781456
121,0.785207
122,0.804514
123,0.800264
124,0.801352
125,0.815799
126,0.794439
127,0.807219
128,0.833611
129,0.823303
130,0.745961
131,0.804747
132,0.869979
133,0.842111
134,0.829859
135,0.832086
136,0.871147
137,0.858785
138,0.852979
139,0.887292
140,0.885736
141,0.89693
142,0.898486
143,0.89693
144,0.902349
145,0.883651
146,0.901678
147,0.885097
148,0.906101
149,0.926963
150,0.919632
151,0.935106
152,0.957525
153,0.941521
154,0.920769
155,0.943157
156,0.915738
157,0.94205
158,0.908936
159,0.936742
160,0.956049
161,0.952826
162,0.926656
163,0.929208
164,0.922234
165,0.933569
166,0.949683
167,0.901482
168,0.899926
169,0.948097
170,0.962015
171,0.919091
172,0.871591
173,0.902866
174,0.897091
175,0.912534
176,0.902337
177,0.853718
178,0.898118
179,0.931262
180,0.905031
181,0.885276
182,0.90072
183,0.837247
184,0.86533
185,0.887859
186,0.899164
187,0.883049
188,0.857408
189,0.865379
190,0.853515
191,0.87335
192,0.812368
193,0.795227
194,0.847039
195,0.810591
196,0.825149
197,0.813285
198,0.813783
199,0.767279
200,0.781585
201,0.781585
202,0.783141
203,0.774611
204,0.754745
205,0.747801
206,0.744578
207,0.730161
208,0.736607
209,0.748969
210,0.704803
211,0.689857
212,0.664357
213,0.679303
214,0.644276
215,0.601247
216,0.622497
217,0.657524
218,0.641053
219,0.632166
220,0.597668
221,0.580668
222,0.614667
223,0.587113
224,0.569086
225,0.549503
226,0.556478
227,0.56023
228,0.533702
229,0.50137
230,0.49712
231,0.503036
232,0.483982
233,0.465844
234,0.474873
235,0.465346
236,0.461207
237,0.436347
238,0.4396
239,0.462517
240,0.402519
241,0.357965
242,0.361717
243,0.382967
244,0.366496
245,0.367523
246,0.380383
247,0.355025
248,0.339723
249,0.330196
250,0.325946
251,0.306252
252,0.305225
253,0.300476
254,0.286699
255,0.28256
256,0.28256
257,0.284116
258,0.269312
259,0.265702
260,0.26687
261,0.240343
262,0.221289
263,0.242539
264,0.234039
265,0.203262
266,0.188458
267,0.209708
268,0.200709
269,0.195432
270,0.185905
271,0.191324
272,0.196712
273,0.181797
274,0.173826
275,0.172799
276,0.168659
277,0.163911
278,0.155411
279,0.153886
280,0.151192
281,0.141136
282,0.141665
283,0.143332
284,0.133805
285,0.129555
286,0.128527
287,0.134444
288,0.113723
289,0.11964
290,0.124419
291,0.118613
292,0.113336
293,0.113336
294,0.113336
295,0.112309
296,0.104866
297,0.108588
298,0.0990605
299,0.100727
